Strike,Symbol,Last,Bid,Ask,Vol
84.29,AAPL7140719C00084290,59.8,7.4,10.35,3
84.64,AAPL140703C00084640,6.4,8.35,9.4,0
85,AAPL140703C00085000,8.9,8.5,9.05,9
85,AAPL140711C00085000,57.5,7.55,9.15,1
85,AAPL7140711C00085000,57,6.55,10.9,1
85,AAPL140719C00085000,8.95,8.85,9.05,462
85,AAPL7140719C00085000,57,6.6,9.7,3
85,AAPL7140725C00085000,8.44,7.1,11.7,0
85.36,AAPL140703C00085360,5.33,8.05,8.7,0
85.71,AAPL140703C00085710,8.18,8,8.35,21
85.71,AAPL7140703C00085710,4.71,5.8,9.2,50
85.71,AAPL140711C00085710,7.08,6.9,8.5,462
85.71,AAPL140719C00085710,8.4,8.2,8.4,1932
85.71,AAPL7140719C00085710,8,7.5,8.65,82
86.07,AAPL140703C00086070,4.27,7,8,0
86.07,AAPL140711C00086070,5.44,6.6,8.15,0
86.43,AAPL140703C00086430,6.34,6.9,7.7,0
86.43,AAPL7140703C00086430,4.64,5.25,9.05,0
86.43,AAPL140711C00086430,5.35,6.3,7.8,0
86.43,AAPL7140711C00086430,5.09,5.25,9.55,0
86.43,AAPL140719C00086430,7.57,7.55,7.7,123
86.43,AAPL7140719C00086430,6.87,6,8,167
86.79,AAPL140703C00086790,6.09,6.55,7.35,0
86.79,AAPL140711C00086790,6.25,6,7.5,292
87.14,AAPL140703C00087140,42.5,6.35,7,2
87.14,AAPL7140703C00087140,5.54,4.7,8.45,0
87.14,AAPL140711C00087140,42.7,6.5,7.15,1
87.14,AAPL7140711C00087140,4.43,4.5,9,0
87.14,AAPL140719C00087140,7.2,6.95,7.2,225
87.14,AAPL7140719C00087140,5.73,4.85,7.1,0
87.14,AAPL7140725C00087140,6.86,5.35,9.7,0
87.5,AAPL140703C00087500,5.75,5.95,6.7,2
87.5,AAPL140711C00087500,6.45,6.2,6.8,7
87.86,AAPL140703C00087860,38.83,5.7,6.35,35
87.86,AAPL140711C00087860,5.03,6.1,6.5,2
87.86,AAPL140719C00087860,6.26,6.3,6.55,474
87.86,AAPL7140719C00087860,5.3,4.9,7.4,46
87.86,AAPL140725C00087860,43.6,6.95,7.3,2
88.21,AAPL140703C00088210,5.7,5.65,5.9,4
88.21,AAPL140711C00088210,3.79,5.8,6.2,0
88.57,AAPL140703C00088570,5.3,5.25,5.7,35
88.57,AAPL7140703C00088570,31.95,3.2,6.45,1
88.57,AAPL140711C00088570,3.67,5.55,5.9,0
88.57,AAPL7140719C00088570,5.9,4.9,6.4,84
88.57,AAPL140725C00088570,6.5,6.4,6.75,98
88.57,AAPL7140725C00088570,5.9,4.2,8.8,0
88.93,AAPL140703C00088930,30.39,5.1,5.25,2
88.93,AAPL140711C00088930,5.45,5.25,5.55,8
89.29,AAPL140703C00089290,4.8,4.8,4.95,35
89.29,AAPL7140703C00089290,3.98,2.57,5.95,0
89.29,AAPL140711C00089290,5.05,5,5.2,14
89.29,AAPL140719C00089290,5.25,5.2,5.4,780
89.29,AAPL7140719C00089290,5.2,4.9,5.5,42
89.64,AAPL140703C00089640,4.7,4.5,4.7,11
89.64,AAPL140711C00089640,2.94,4.65,4.95,0
89.64,AAPL140725C00089640,5.1,5.65,6.05,0
90,AAPL140703C00090000,4.3,4.25,4.4,268
90,AAPL7140703C00090000,3.57,2.01,4.65,0
90,AAPL140711C00090000,4.56,4.45,4.7,32
90,AAPL7140711C00090000,31.35,2.76,6.4,1
90,AAPL140719C00090000,4.75,4.7,4.8,8846
90,AAPL7140719C00090000,4.75,4.65,4.9,119
90,AAPL140725C00090000,5.7,5.5,5.7,220
90.36,AAPL140703C00090360,4.1,3.95,4.1,43
90.36,AAPL7140703C00090360,2.57,1.73,5.25,0
90.36,AAPL140711C00090360,3.95,4.15,4.45,10
90.36,AAPL7140711C00090360,25.5,1.97,5.55,1
90.36,AAPL140725C00090360,4.65,5.15,5.5,0
90.71,AAPL140703C00090710,3.6,3.7,3.9,21
90.71,AAPL7140703C00090710,5.05,1.47,5.05,10
90.71,AAPL140711C00090710,4.05,3.95,4.15,41
90.71,AAPL7140711C00090710,2.63,1.72,5.3,0
90.71,AAPL140719C00090710,4.2,4.2,4.3,1190
90.71,AAPL7140719C00090710,3.88,4.15,4.4,7
90.71,AAPL140725C00090710,5.22,5.05,5.3,10
91.07,AAPL140703C00091070,3.4,3.4,3.6,145
91.07,AAPL7140703C00091070,4,2.91,4.9,5
91.07,AAPL140711C00091070,3.8,3.7,3.95,53
91.07,AAPL7140711C00091070,2.21,1.47,4.8,7
91.07,AAPL140725C00091070,4.54,4.7,5.05,7
91.43,AAPL140703C00091430,3.25,3.15,3.35,1027
91.43,AAPL7140703C00091430,22.05,0.97,4.4,1
91.43,AAPL140711C00091430,3.45,3.45,3.7,34
91.43,AAPL7140711C00091430,2.21,1.22,4.9,0
91.43,AAPL140719C00091430,3.79,3.7,3.8,2426
91.43,AAPL7140719C00091430,3.8,3.7,3.9,39
91.43,AAPL140725C00091430,4.4,4.6,4.85,8
91.79,AAPL140711C00091790,2.81,3.2,3.4,3
91.79,AAPL140725C00091790,30.3,4.4,4.65,1
92.14,AAPL140711C00092140,3.09,3,3.15,181
92.14,AAPL7140711C00092140,20.38,0.99,4.25,3
92.14,AAPL140719C00092140,3.4,3.3,3.4,12193
92.14,AAPL7140719C00092140,3.4,3.25,3.45,665
92.14,AAPL140725C00092140,4.2,4.05,4.45,79
92.14,AAPL7140725C00092140,4.25,2.02,5.9,15
92.5,AAPL140711C00092500,2.86,2.81,2.93,172
92.5,AAPL7140711C00092500,3.95,1.2,3.95,1
92.5,AAPL140725C00092500,3.99,4,4.25,145
92.5,AAPL7140725C00092500,5.55,1.77,6,4
92.86,AAPL140703C00092860,2.39,2.32,2.4,1269
92.86,AAPL7140703C00092860,1.95,1.37,2.59,6
92.86,AAPL140711C00092860,2.72,2.61,2.74,236
92.86,AAPL7140711C00092860,18,1.36,3.75,2
92.86,AAPL140719C00092860,2.95,2.92,2.98,12000
92.86,AAPL7140719C00092860,3,2.88,3.05,120
92.86,AAPL140725C00092860,3.8,3.8,3.9,152
93.21,AAPL140711C00093210,2.47,2.42,2.55,288
93.21,AAPL7140711C00093210,3.5,1.53,3.35,18
93.21,AAPL140725C00093210,3.61,3.6,3.85,13
93.21,AAPL7140725C00093210,3.14,1.5,6,2
93.57,AAPL140711C00093570,2.37,2.24,2.34,65
93.57,AAPL7140711C00093570,2.14,1.66,2.84,0
93.57,AAPL140719C00093570,2.53,2.54,2.61,8706
93.57,AAPL7140719C00093570,2.55,2.52,2.69,10
93.57,AAPL140725C00093570,3.6,3.45,3.6,134
93.93,AAPL140711C00093930,2.16,2.07,2.16,115
93.93,AAPL7140711C00093930,3.2,1.6,2.58,35
93.93,AAPL140725C00093930,3.35,3.25,3.4,11
94.29,AAPL140703C00094290,1.7,1.62,1.72,530
94.29,AAPL140711C00094290,2,1.92,2.01,76
94.29,AAPL7140711C00094290,1.91,1.45,2.25,21
94.29,AAPL140719C00094290,2.25,2.18,2.25,5859
94.29,AAPL7140719C00094290,2.24,2.2,2.36,54
94.29,AAPL140725C00094290,3,3.1,3.25,180
94.64,AAPL140725C00094640,3.1,2.94,3.1,39
95,AAPL140719C00095000,1.93,1.92,1.96,7254
95,AAPL7140719C00095000,1.99,1.87,2.04,34
95,AAPL140725C00095000,2.9,2.77,2.9,993
95,AAPL7140725C00095000,2.34,0.57,5,0
95.36,AAPL140725C00095360,17,2.66,2.83,8
95.71,AAPL140703C00095710,1.16,1.1,1.18,524
95.71,AAPL140711C00095710,1.39,1.4,1.45,1352
95.71,AAPL7140711C00095710,1.5,1.35,1.46,11
95.71,AAPL140719C00095710,1.64,1.63,1.7,3308
95.71,AAPL7140719C00095710,1.65,1.63,1.73,3
95.71,AAPL140725C00095710,2.6,2.54,2.69,112
96.43,AAPL140719C00096430,1.45,1.4,1.44,4384
96.43,AAPL7140719C00096430,1.34,1.37,1.49,694
97.14,AAPL140703C00097140,0.78,0.73,0.78,435
97.14,AAPL140711C00097140,0.97,0.95,1.04,547
97.14,AAPL140719C00097140,1.22,1.2,1.25,2863
97.14,AAPL7140719C00097140,1.24,1.18,1.27,400
97.86,AAPL140719C00097860,1.05,1.02,1.05,6373
98.57,AAPL140703C00098570,0.5,0.48,0.52,383
98.57,AAPL140711C00098570,0.64,0.65,0.72,47
98.57,AAPL140719C00098570,0.89,0.87,0.91,2262
99.29,AAPL140719C00099290,0.76,0.74,0.77,1201
100,AAPL140703C00100000,0.34,0.32,0.37,845
100,AAPL140711C00100000,0.5,0.45,0.51,473
100,AAPL140719C00100000,0.63,0.62,0.66,16286
100.71,AAPL140719C00100710,0.55,0.53,0.56,460
101.43,AAPL140703C00101430,0.26,0.22,0.27,20
101.43,AAPL140711C00101430,0.35,0.31,0.38,19
101.43,AAPL140719C00101430,0.47,0.45,0.48,658
102.14,AAPL140719C00102140,0.41,0.38,0.41,736
102.86,AAPL140703C00102860,0.17,0.17,0.19,12
102.86,AAPL140719C00102860,0.33,0.33,0.36,555
103.57,AAPL140719C00103570,0.3,0.28,0.31,2090
104.29,AAPL140703C00104290,0.13,0.13,0.16,15
104.29,AAPL140719C00104290,0.27,0.24,0.27,239
105,AAPL140719C00105000,0.23,0.21,0.24,879
105.71,AAPL140719C00105710,0.2,0.19,0.21,363
106.43,AAPL140719C00106430,0.17,0.17,0.19,2485
107.14,AAPL140711C00107140,0.18,0.1,0.14,0
107.14,AAPL140719C00107140,0.16,0.14,0.16,3256
107.86,AAPL140719C00107860,0.13,0.13,0.15,209
108.57,AAPL140703C00108570,0.11,0.06,0.1,20
108.57,AAPL140719C00108570,0.12,0.11,0.14,733
109.29,AAPL140719C00109290,0.11,0.1,0.13,26
110,AAPL140703C00110000,0.65,0.04,0.08,2
110,AAPL140719C00110000,0.11,0.1,0.12,648
110.71,AAPL140719C00110710,0.1,0.09,0.11,1460
111.43,AAPL140703C00111430,0.09,0.03,0.07,0
111.43,AAPL140719C00111430,0.09,0.08,0.1,104
112.14,AAPL140719C00112140,0.08,0.08,0.09,182
112.86,AAPL140703C00112860,0.07,0.03,0.07,5
112.86,AAPL140711C00112860,0.17,0.04,0.07,0
112.86,AAPL140719C00112860,0.07,0.07,0.09,4
113.57,AAPL140719C00113570,0.07,0.06,0.08,210
114.29,AAPL140719C00114290,0.06,0.06,0.08,805
115,AAPL140719C00115000,0.06,0.05,0.08,129
115.71,AAPL140719C00115710,0.06,0.05,0.06,503
116.43,AAPL140719C00116430,0.05,0.05,0.08,102
117.14,AAPL140719C00117140,0.38,0.04,0.08,50
117.86,AAPL140719C00117860,0.04,0.04,0.06,14
118.57,AAPL140719C00118570,0.04,0.04,0.07,2
119.29,AAPL140719C00119290,0.03,0.03,0.06,7
120,AAPL140719C00120000,0.03,0.03,0.04,40
120.71,AAPL140719C00120710,0.03,0.02,0.03,154
121.43,AAPL140719C00121430,0.02,0.01,0.02,148
